"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MSTRG.22578|LOC111123850",5.09847609173782,0.0088825358621667,0.196724494571929,0.734391713421428,0.966160665530692
"MSTRG.9735|LOC111119799",19.5129114787257,0.0046665772816105,0.168374970357955,0.925351105447765,0.992312314737774
"MSTRG.39169|LOC111134853",0.612571631267308,-0.00404879340906624,0.195175690554984,0.87711042192117,NA
"MSTRG.58116",1.74439687541442,0.0106664191757151,0.204733054425416,0.645929829980769,NA
"MSTRG.58115",0.817659167940554,0.0169287794196285,0.195449667423381,0.560080613460497,NA
"MSTRG.58114",0,0,0.862649010412789,1,NA
"MSTRG.73495",2.14242396832471,0.0180821607258912,0.221187912786885,0.396976775843883,NA
"MSTRG.58119",2.23042563937405,-0.0710686606619596,0.207029798927774,0.123059673778469,NA
"MSTRG.53045",3.09762361029688,0.00156719461451264,0.190467043496278,0.956640991116889,NA
"MSTRG.25086|LOC111125093",1.74289879529846,0.00242004303791364,0.188616293227721,0.935987073419476,NA
"MSTRG.73496",65.6641869668391,0.037802029579783,0.176182835360088,0.432228218346648,0.889713297747092
"MSTRG.24540|LOC111126079",13.6868581400795,-0.0344890541669887,0.188999576709139,0.36985959070954,0.862866125452013
"MSTRG.72200|LOC111115470",0,0,0.862649010412789,NA,NA
"MSTRG.2686|LOC111116974",227.464515346406,0.00827244113577738,0.188332624184247,0.789521127411084,0.973878666922394
"MSTRG.47090|LOC111135972",1.14488603918897,-0.00202006793453043,0.219868389536599,0.903807489652908,NA
"MSTRG.43178",355.941597259744,-0.0285585265554645,0.172791367935967,0.55723723086291,0.929120661930546
"MSTRG.19848",56.1677972263317,-0.00488480557691248,0.155946718966011,0.935876801132829,0.993807989364688
"MSTRG.43175",1.11672513449836,-0.0357463470228264,0.200195306691336,0.297127252930385,NA
"MSTRG.19847",87.9793925641315,0.0879417804943756,0.180155763717045,0.152626990456126,0.690525003228628
"MSTRG.61446|LOC111110274",5.11158830676032,0.0172596204406054,0.225798766663022,0.390461198631488,0.871132466350971
"MSTRG.19843",225.958988050328,-0.093586952663272,0.16374567560709,0.184792000193974,0.729473307865101
"MSTRG.19840",0.78118938755397,-0.00556557976998816,0.221936946979153,0.740289948676414,NA
"MSTRG.43172",47.7176235778929,0.01110616054229,0.178931018595705,0.777776807652695,0.972702395428686
"MSTRG.63021|LOC111106249",14.4885019777893,-0.0271701681561712,0.235616589275308,0.236771566808989,0.774825853509144
"MSTRG.10522",115.300094689417,0.0182761873637643,0.175712164620585,0.676029499775171,0.955297631171414
"MSTRG.37300",0.200602991448411,-0.001391669018008,0.22483550115321,0.928766594623562,NA
"MSTRG.37303",328.652270315645,0.0510056376230734,0.129623004302896,0.490491156074277,0.910826275326975
"MSTRG.37302",161.50409406619,0.0929560895725689,0.146412257561382,0.218982999330033,0.759346155126191
"MSTRG.2563|LOC111136067",0.502295707695926,0.00933309491456747,0.232695429895033,0.558935481873721,NA
"MSTRG.37307",337.674299560293,-0.0567362838677759,0.11922060849284,0.447712886218529,0.895982410506154
"MSTRG.37308",379.924054976789,-0.0455287955078095,0.156469719057648,0.479902616722102,0.908016975681176
"MSTRG.10528",79.8172007247698,0.0537491487110468,0.188037676135889,0.242359549087872,0.778884126018664
"MSTRG.23480|LOC111125720",7.77061038648781,-0.0118741161629,0.179169782096677,0.76218848776213,0.97045388112156
"MSTRG.10593|LOC111120529",1.57298900763848,0.00349840485712497,0.18931327373241,0.906278049383577,NA
"MSTRG.21410|LOC111123598",2.22671589982014,-0.00211591152931694,0.201944246897456,0.925855725517257,NA
"MSTRG.5151|LOC111133529",32.4051486478992,0.0625129110805305,0.135274729035684,0.398890990317471,0.874866481247357
"MSTRG.54609",3589.43492835948,0.0689299307412348,0.229301477616387,0.0961874884222616,0.597340267301188
"MSTRG.143|LOC111104259",9.92287413882109,-0.0221155498028716,0.186302177032014,0.537282911010178,0.925556979709153
"MSTRG.80655",2.15562174189715,-0.00870197009488663,0.183962750448306,NA,NA
"MSTRG.5661",1819.38195901643,-0.0773426599929611,0.129878462377204,0.308441709289983,0.825975165160057
"MSTRG.47894|LOC111100821",0.552449405370678,0.01314585168313,0.240765459825589,0.422244943897076,NA
"MSTRG.75285",272.560811339925,-0.0697902172513627,0.159199432054602,0.300979457355515,0.820390224053004
"MSTRG.5664",56.0570046119142,-0.0187726486090766,0.171385985579302,0.696384016217691,0.959352525375461
"MSTRG.5666",15.3835081708347,0.0126104275164456,0.188393179037473,0.691941259824402,0.958221973803258
"MSTRG.5669",0.289293333252271,-0.0105835895271206,0.234809702190466,0.511360809080782,NA
"MSTRG.64175|LOC111106363",2.80193690068505,0.000165484119218542,0.187441437346514,0.995730909933905,NA
"MSTRG.31443|LOC111128777",35.9285161111324,0.231728910567203,0.564175953967096,0.00453440089544232,0.182500638857035
"MSTRG.30692|LOC111128796",0.994074542364127,0.0183846051225965,0.257142164573879,0.282966641367682,NA
"MSTRG.80597|LOC111117055",1.25412284817423,0.000603100036154694,0.200373100210941,0.979414606472952,NA
"MSTRG.58111",319.640283982254,-0.0696773520014064,0.150948556894857,0.325873512178769,0.838095792218251
"MSTRG.10609|LOC111120558",6.30068735322064,-0.00101442772105356,0.201124162489803,0.964887845654867,0.997071294291969
"MSTRG.81500|LOC111117203",4.42855862018509,-0.00267599254315421,0.223655098752286,0.866544756587076,NA
"MSTRG.74627",681.351589913779,-0.0372129297809865,0.115425840430672,0.614223237925625,0.942822212639272
"MSTRG.3848",2.01475961054998,-0.00439608168148982,0.19670060254907,0.862699059470708,NA
"MSTRG.74624",32.9351749154632,-0.0444597369411957,0.173859501819749,0.391229701256964,0.871327794166967
"MSTRG.74622",0.145357373411993,-0.00449118276453444,0.226537704405213,0.774067366448185,NA
"MSTRG.74621",186.299529197785,-0.0328472498944072,0.130389537466082,0.651732537443165,0.950322398792372
"MSTRG.3842",20.6661288823738,-0.00438864697898824,0.183284373907035,0.898792505944628,0.989175304074299
"MSTRG.3840",888.355065229439,0.0392545901080807,0.11233114913147,0.594228250066908,0.936954359040269
"MSTRG.3846",2.85103312428038,-0.0324041490206537,0.186755396268608,0.405621305961865,NA
"MSTRG.3847",2650.95035958926,-0.0513612157999008,0.114006809611666,0.488879011869204,0.910529772248361
"MSTRG.74629",1557.50148347176,0.0905536688585249,0.0915072304075136,0.195145363706155,0.736179068122376
"MSTRG.74628",0.19612696696171,-0.00449115456022627,0.226537680609877,0.774068731452675,NA
"MSTRG.14735|LOC111121607",1.5661194450795,0.000745126281904581,0.209307417496798,0.969969676127329,NA
"MSTRG.73938",1.47183508816551,-0.000801642359988348,0.223472444101226,0.95957881033107,NA
"MSTRG.73932",0.352776087846518,-0.00510948792198246,0.226789433524075,0.745241350834983,NA
"MSTRG.18714",24.7089886866046,0.0216612404338923,0.218323256620675,0.356923425148373,0.856892176904686
"MSTRG.73930",710.433871159627,0.00940277034185148,0.14336482930722,0.889971079996779,0.987630865753388
"MSTRG.73931",3.61779537046717,0.0130272063402846,0.203407925212725,0.593965071512139,NA
"MSTRG.18711",15.0332325184245,-0.015296487158885,0.215897943352463,0.474970312091091,0.906565583024511
"MSTRG.73934",7.51273751728769,-0.0316482369201948,0.202121489360186,0.322858933576872,0.835941026169837
"MSTRG.73935",29.7077436482053,-0.0663737025348893,0.203826945541868,0.141342379420147,0.675074123077411
"MSTRG.45982|LOC111138336",1.68904829127162,0.0281783268714628,0.18920126022548,0.435018330750685,NA
"MSTRG.61617|LOC111107783",1.28398787660143,0.00252398424520492,0.224121145373646,0.873163685066152,NA
"MSTRG.74889|LOC111115979",4.56809383814822,-0.0145140215928953,0.193296974267993,0.621428109736466,0.944937919689336
"MSTRG.37485|LOC111135126",12.9408684801582,0.0485782701503351,0.191793468319815,0.251679754945182,0.786125301682648
"MSTRG.83302",0.704995285088425,0.0098287931754749,0.233572048648636,0.539440011990433,NA
"MSTRG.6310",9.02032212171729,0.0305276106793815,0.205112472275404,0.319159894727073,0.832986955993729
"MSTRG.6313",6.30614251959151,0.0318795069515474,0.206087846826871,0.302615535949117,0.821543617364038
"MSTRG.83306",0,0,0.862649010412789,1,NA
"MSTRG.6317",1.10010791125282,0.0200141829279791,0.208165960034817,0.431116004142067,NA
"MSTRG.83305",9.23440232852186,0.0579464822688495,0.169292768662862,0.324844113587831,0.837078957131603
"MSTRG.6319",2.98999427328796,0.00744066019167312,0.195380360299909,0.77945877650701,NA
"MSTRG.15976|LOC111119224",1.55329722607967,-0.0205109134906993,0.212422079884471,0.401325411210412,NA
"MSTRG.24317|LOC111122561",0.472461623025512,-0.0143120769689071,0.243587267901688,0.387248094983004,NA
"MSTRG.7474|LOC111112131",22.2127079375698,0.108173095792775,0.287648245142027,0.031990527886973,0.402774251864907
"MSTRG.33375",2018.25466770403,-0.103499669106409,0.108554498081475,0.169429128363037,0.71237051868269
"MSTRG.33377",973.395873525174,0.0207101813839085,0.137385360482029,0.769114393578956,0.970550791348545
"MSTRG.33370",475.500918057052,0.0283661199689929,0.156137901216493,0.648620329204171,0.949628313076972
"MSTRG.44258",33.6053736552333,0.0367205654821593,0.164980116315113,0.519979610686884,0.920788106627787
"MSTRG.33373",638.019385137093,0.0314918532536021,0.121262976297751,0.668970278022982,0.95415421257575
"MSTRG.44254",493.385723340655,-0.0687590390513076,0.107854997096761,0.352749396857115,0.854842138889069
"MSTRG.44257",50.1785007166039,-0.109389017081041,0.164647825382121,0.137654994581129,0.671214392212552
"MSTRG.44251",1.94604433698449,0.0173680836718573,0.227868693461137,0.379947919851229,NA
"MSTRG.44250",1.32847213513909,0.0206136982983435,0.265983944376861,0.238910779918135,NA
"MSTRG.43975|LOC111134136",3.79262966473071,0.0249387788170038,0.239311836729878,NA,NA
"MSTRG.4423|LOC111131186",16.4558374579383,-0.0356757632456041,0.185693353854792,0.381114634649483,0.868166405607458
"MSTRG.58737|LOC111104535",27.6312661866956,0.0451791788515459,0.204156026687811,0.220524036847725,0.760184367096115
"MSTRG.71507|LOC111112953",1.31965366060866,0.0134066240687758,0.241433821479565,0.414010418584578,NA
"MSTRG.67148",6366.15349460814,-0.106588034457217,0.217737276130762,0.0585558495822412,0.505646136760301
"MSTRG.67149",90.120796529996,-0.0368228274163872,0.174705724601289,0.45288836010623,0.89840281194168
"MSTRG.67142",715.019863614875,0.00869832492176884,0.0931244943026675,0.900669366546859,0.989311391786227
"MSTRG.27014|LOC111130759",37.5968962861877,0.0210039172662291,0.156506745703817,0.731610167827257,0.965286764616774
"MSTRG.67140",43.4850687421908,-0.0706906009612162,0.185821798172352,0.182698984912895,0.727408960358972
"MSTRG.67141",3.22123859959333,-0.0184737124219549,0.194420964972924,0.53875651217827,NA
"MSTRG.67147",1479.26272943344,0.342438162208469,0.19124170402487,0.00131631816119798,0.0994380082377949
"MSTRG.67144",647.937885216416,-0.118382597455047,0.1396998174271,0.136232388038916,0.669149717672706
"MSTRG.8045|LOC111108434",7.5022011655857,-0.0222633303306297,0.19405447916751,0.480166847953764,0.908016975681176
"MSTRG.56606",12.6732005414665,-0.00863414941306606,0.16313574086196,0.875338103554953,0.985263887713813
"MSTRG.58938",326.721282581236,-0.035835460221291,0.122425540325532,0.627096269799938,0.945732550899884
"MSTRG.58935",4.1053470581704,-0.00303881219567121,0.193593421714733,0.910311005238697,NA
"MSTRG.7738|LOC111113850",103.20798364407,0.00746029582864669,0.139888219858774,0.914271198476376,0.990754144032167
"MSTRG.58930",70.7622740672469,0.0123095390432259,0.175559417731688,0.774222735402548,0.971778659217182
"MSTRG.58933",1087.46642601444,0.156155125071247,0.155433429429523,0.0609310518024572,0.512502108822439
"MSTRG.58932",79.2045258760804,-0.0566710538717291,0.192785796663306,0.207883138834477,0.748956544726233
"MSTRG.27264|LOC111130361",0.447940470749233,-0.0137116042370649,0.241975897594716,0.405256179722313,NA
"MSTRG.58022|LOC111104582",0.505770378995529,0.010268174678118,0.234238551802113,0.523082640841265,NA
